index,HHID,HLID,country
6_Congo_MICS6_4_9_2,6_Congo_MICS6_4_9,6_Congo_MICS6_4_9_2,Congo_MICS6
6_Congo_MICS6_4_12_2,6_Congo_MICS6_4_12,6_Congo_MICS6_4_12_2,Congo_MICS6
6_Congo_MICS6_4_13_2,6_Congo_MICS6_4_13,6_Congo_MICS6_4_13_2,Congo_MICS6
6_Congo_MICS6_4_13_3,6_Congo_MICS6_4_13,6_Congo_MICS6_4_13_3,Congo_MICS6
6_Congo_MICS6_4_15_2,6_Congo_MICS6_4_15,6_Congo_MICS6_4_15_2,Congo_MICS6
6_Congo_MICS6_4_15_4,6_Congo_MICS6_4_15,6_Congo_MICS6_4_15_4,Congo_MICS6
6_Congo_MICS6_4_16_4,6_Congo_MICS6_4_16,6_Congo_MICS6_4_16_4,Congo_MICS6
6_Congo_MICS6_4_16_5,6_Congo_MICS6_4_16,6_Congo_MICS6_4_16_5,Congo_MICS6
6_Congo_MICS6_4_17_2,6_Congo_MICS6_4_17,6_Congo_MICS6_4_17_2,Congo_MICS6
6_Congo_MICS6_4_17_3,6_Congo_MICS6_4_17,6_Congo_MICS6_4_17_3,Congo_MICS6
6_Congo_MICS6_4_18_1,6_Congo_MICS6_4_18,6_Congo_MICS6_4_18_1,Congo_MICS6
6_Congo_MICS6_4_19_2,6_Congo_MICS6_4_19,6_Congo_MICS6_4_19_2,Congo_MICS6
6_Congo_MICS6_4_21_1,6_Congo_MICS6_4_21,6_Congo_MICS6_4_21_1,Congo_MICS6
6_Congo_MICS6_4_22_2,6_Congo_MICS6_4_22,6_Congo_MICS6_4_22_2,Congo_MICS6
6_Congo_MICS6_4_24_2,6_Congo_MICS6_4_24,6_Congo_MICS6_4_24_2,Congo_MICS6
6_Congo_MICS6_4_26_2,6_Congo_MICS6_4_26,6_Congo_MICS6_4_26_2,Congo_MICS6
6_Congo_MICS6_4_26_3,6_Congo_MICS6_4_26,6_Congo_MICS6_4_26_3,Congo_MICS6
6_Congo_MICS6_4_27_5,6_Congo_MICS6_4_27,6_Congo_MICS6_4_27_5,Congo_MICS6
