,WB6A,WB16,MT9,MT11,CM3,CM8,CP2,UN7,UN14N,VT9,MA1,AF10,AF11,SB2U,TA16,LS2
6_Congo_MICS6_264_12_2,10.0,,2.0,2.0,,2.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0
6_Congo_MICS6_264_13_6,10.0,,2.0,2.0,,2.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_264_14_1,,,2.0,2.0,5.0,2.0,1.0,8.0,94.0,2.0,1.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_264_14_2,20.0,,2.0,2.0,,2.0,,,8.0,2.0,3.0,1.0,1.0,3.0,0.0,3.0
6_Congo_MICS6_264_15_1,10.0,,2.0,2.0,,1.0,2.0,1.0,14.0,2.0,3.0,1.0,1.0,1.0,0.0,6.0
6_Congo_MICS6_264_16_4,10.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_264_17_2,10.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,,8.0
6_Congo_MICS6_264_18_2,10.0,3.0,2.0,2.0,,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_264_19_2,10.0,,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_264_19_3,10.0,,2.0,2.0,,2.0,2.0,1.0,,2.0,3.0,2.0,1.0,3.0,2.0,3.0
6_Congo_MICS6_264_20_2,10.0,,2.0,2.0,4.0,2.0,2.0,8.0,94.0,2.0,1.0,2.0,1.0,3.0,0.0,6.0
6_Congo_MICS6_264_21_2,31.0,,2.0,2.0,,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_264_23_3,10.0,,2.0,2.0,,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_264_24_2,20.0,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,,2.0
6_Congo_MICS6_264_25_2,,,2.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,10.0,7.0
6_Congo_MICS6_264_26_2,,,2.0,2.0,6.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,,7.0
6_Congo_MICS6_264_28_1,10.0,,2.0,2.0,0.0,2.0,2.0,2.0,12.0,2.0,2.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_264_28_2,10.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,,,1.0,,8.0
6_Congo_MICS6_264_28_3,10.0,,2.0,2.0,,2.0,2.0,1.0,10.0,2.0,3.0,,,1.0,,2.0
6_Congo_MICS6_264_30_4,10.0,,2.0,2.0,,2.0,2.0,8.0,95.0,2.0,3.0,,,,,5.0
6_Congo_MICS6_265_1_2,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,1.0
6_Congo_MICS6_265_1_5,10.0,,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_265_2_2,10.0,,2.0,2.0,1.0,2.0,2.0,1.0,94.0,2.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_265_3_2,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_265_3_3,20.0,3.0,2.0,2.0,,1.0,2.0,1.0,,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_265_4_2,10.0,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,,3.0
6_Congo_MICS6_265_5_2,10.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0
6_Congo_MICS6_265_6_1,10.0,,2.0,2.0,0.0,1.0,,,3.0,2.0,2.0,1.0,1.0,2.0,,9.0
6_Congo_MICS6_265_6_3,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,,,7.0
6_Congo_MICS6_265_7_3,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,,,2.0
6_Congo_MICS6_265_8_2,10.0,,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,7.0
6_Congo_MICS6_265_8_4,10.0,,2.0,2.0,,2.0,,,8.0,2.0,3.0,,,1.0,,2.0
6_Congo_MICS6_265_9_2,20.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,,5.0
6_Congo_MICS6_265_10_3,31.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,7.0,2.0
6_Congo_MICS6_265_10_4,32.0,,2.0,2.0,,2.0,2.0,1.0,,2.0,3.0,1.0,1.0,,,2.0
6_Congo_MICS6_265_11_2,10.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_265_11_9,20.0,,2.0,2.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_265_12_2,31.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,,2.0,2.0,1.0,1.0,1.0,,9.0
6_Congo_MICS6_265_12_5,10.0,,2.0,2.0,,2.0,2.0,1.0,,2.0,3.0,1.0,1.0,,,8.0
6_Congo_MICS6_265_12_7,31.0,,2.0,2.0,,2.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_265_12_8,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,,,3.0
6_Congo_MICS6_265_12_10,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,,,,,4.0
6_Congo_MICS6_265_13_2,10.0,,2.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,,1.0
6_Congo_MICS6_265_13_3,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,,,1.0
6_Congo_MICS6_265_13_4,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,,,,,4.0
6_Congo_MICS6_265_14_2,,,2.0,2.0,5.0,2.0,2.0,1.0,94.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0
6_Congo_MICS6_265_17_2,,,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,6.0
6_Congo_MICS6_265_17_3,10.0,,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_265_17_4,10.0,,2.0,2.0,,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_265_17_5,10.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,,,1.0,,6.0
6_Congo_MICS6_265_17_14,,,2.0,2.0,0.0,2.0,2.0,8.0,93.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0
6_Congo_MICS6_265_19_3,10.0,,2.0,2.0,,2.0,2.0,1.0,6.0,2.0,3.0,,,,,2.0
6_Congo_MICS6_265_20_2,,,2.0,2.0,2.0,2.0,2.0,8.0,3.0,2.0,3.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_265_21_2,10.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_265_22_2,,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,,,1.0,,2.0
6_Congo_MICS6_265_22_4,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,,,,,1.0
6_Congo_MICS6_265_23_2,20.0,,2.0,2.0,3.0,1.0,2.0,2.0,94.0,2.0,1.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_265_24_2,31.0,,2.0,2.0,,1.0,,,3.0,2.0,3.0,1.0,1.0,2.0,,8.0
6_Congo_MICS6_265_25_2,10.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_265_26_2,,,2.0,2.0,1.0,1.0,2.0,1.0,94.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0
6_Congo_MICS6_265_28_2,,,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_265_28_4,,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_265_29_2,10.0,,2.0,2.0,0.0,1.0,2.0,8.0,94.0,2.0,2.0,2.0,1.0,2.0,,3.0
6_Congo_MICS6_265_30_2,10.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,2.0,,6.0
6_Congo_MICS6_266_1_3,31.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,,3.0
6_Congo_MICS6_266_2_2,,,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0
6_Congo_MICS6_266_3_3,10.0,1.0,2.0,2.0,,2.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,,5.0
6_Congo_MICS6_266_4_2,10.0,,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_266_4_3,10.0,,2.0,2.0,,2.0,2.0,1.0,6.0,2.0,3.0,,,1.0,,4.0
6_Congo_MICS6_266_5_3,10.0,,2.0,2.0,,2.0,1.0,1.0,6.0,2.0,3.0,,,2.0,,3.0
6_Congo_MICS6_266_6_1,31.0,,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,9.0
6_Congo_MICS6_266_6_2,31.0,,2.0,2.0,0.0,2.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_266_7_2,10.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_266_8_1,31.0,,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0
6_Congo_MICS6_266_10_2,,,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_266_11_2,20.0,,2.0,2.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_266_15_2,10.0,,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_266_15_3,10.0,,2.0,2.0,,2.0,,,3.0,2.0,3.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_266_15_5,10.0,,2.0,2.0,,2.0,2.0,1.0,,2.0,3.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_266_16_2,10.0,,2.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_266_16_3,10.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_266_16_5,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,,,2.0
6_Congo_MICS6_266_17_2,10.0,,2.0,2.0,1.0,1.0,,,5.0,2.0,2.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_266_17_3,10.0,,2.0,2.0,,2.0,2.0,1.0,95.0,2.0,3.0,,,,,2.0
6_Congo_MICS6_266_18_1,31.0,3.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_266_19_2,10.0,,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,7.0,2.0
6_Congo_MICS6_266_20_2,10.0,,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0
6_Congo_MICS6_266_21_2,10.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_266_21_10,10.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_266_22_2,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,,2.0
6_Congo_MICS6_266_22_3,,,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_266_22_12,31.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_266_22_14,20.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,,2.0
6_Congo_MICS6_266_22_15,,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,,1.0
6_Congo_MICS6_266_23_2,20.0,,2.0,2.0,4.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_266_25_2,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_266_25_4,10.0,,2.0,2.0,1.0,2.0,,,7.0,2.0,2.0,1.0,1.0,3.0,,2.0
6_Congo_MICS6_266_27_1,10.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_266_27_4,10.0,,2.0,2.0,,2.0,2.0,1.0,,2.0,3.0,1.0,1.0,1.0,10.0,7.0
6_Congo_MICS6_266_27_9,,3.0,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,,,10.0
6_Congo_MICS6_266_28_2,,,2.0,2.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0
6_Congo_MICS6_266_28_3,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,,,,,2.0
6_Congo_MICS6_266_29_2,,,2.0,2.0,3.0,2.0,2.0,2.0,93.0,2.0,1.0,2.0,1.0,1.0,,5.0
6_Congo_MICS6_266_29_4,31.0,,2.0,2.0,0.0,2.0,2.0,1.0,94.0,2.0,3.0,1.0,1.0,2.0,,7.0
6_Congo_MICS6_266_29_5,20.0,,2.0,2.0,,2.0,2.0,8.0,95.0,2.0,3.0,,,,,5.0
6_Congo_MICS6_266_29_6,10.0,,2.0,2.0,,2.0,2.0,1.0,,2.0,3.0,,,,,6.0
6_Congo_MICS6_266_30_1,20.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,,4.0
6_Congo_MICS6_267_1_2,,3.0,2.0,2.0,,2.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,,,2.0
6_Congo_MICS6_267_2_1,20.0,,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_267_3_1,31.0,,2.0,2.0,2.0,2.0,2.0,8.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0
6_Congo_MICS6_267_4_6,,,2.0,2.0,0.0,2.0,2.0,8.0,,2.0,2.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_267_5_1,,,2.0,2.0,2.0,2.0,2.0,8.0,1.0,2.0,3.0,1.0,1.0,3.0,,0.0
6_Congo_MICS6_267_6_1,10.0,,2.0,2.0,1.0,2.0,2.0,8.0,5.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0
6_Congo_MICS6_267_7_2,10.0,3.0,2.0,2.0,1.0,2.0,,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0
6_Congo_MICS6_267_9_2,31.0,,2.0,2.0,2.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0
6_Congo_MICS6_267_9_4,10.0,,2.0,2.0,,2.0,2.0,9.0,,2.0,3.0,,,,,2.0
6_Congo_MICS6_267_10_2,,3.0,2.0,2.0,1.0,2.0,2.0,3.0,7.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0
6_Congo_MICS6_267_11_2,20.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0
6_Congo_MICS6_267_11_3,31.0,,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0
6_Congo_MICS6_267_11_4,31.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,,,4.0
6_Congo_MICS6_267_11_5,20.0,,2.0,2.0,,2.0,2.0,8.0,,2.0,3.0,,,,,7.0
6_Congo_MICS6_267_12_2,10.0,3.0,2.0,2.0,4.0,2.0,,,8.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0
6_Congo_MICS6_267_12_3,10.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,,0.0,5.0
6_Congo_MICS6_267_13_2,,,2.0,2.0,0.0,2.0,2.0,8.0,,2.0,2.0,1.0,1.0,1.0,,10.0
6_Congo_MICS6_267_14_2,10.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,,2.0,2.0,1.0,1.0,1.0,6.0,3.0
6_Congo_MICS6_267_15_2,20.0,,2.0,2.0,2.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,,0.0
6_Congo_MICS6_267_16_2,10.0,3.0,2.0,2.0,,2.0,2.0,8.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0
6_Congo_MICS6_267_18_2,20.0,,2.0,2.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,3.0,,9.0
6_Congo_MICS6_267_18_3,10.0,3.0,2.0,2.0,,2.0,2.0,8.0,4.0,2.0,3.0,,,1.0,,7.0
6_Congo_MICS6_267_19_2,10.0,3.0,2.0,2.0,1.0,1.0,2.0,8.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0
6_Congo_MICS6_267_20_2,,3.0,2.0,2.0,1.0,2.0,2.0,8.0,9.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0
6_Congo_MICS6_267_21_2,10.0,,2.0,2.0,,2.0,2.0,8.0,4.0,2.0,3.0,,,1.0,3.0,4.0
6_Congo_MICS6_267_22_2,10.0,3.0,2.0,2.0,0.0,2.0,2.0,8.0,,1.0,2.0,1.0,1.0,2.0,0.0,8.0
6_Congo_MICS6_267_23_2,20.0,6.0,2.0,2.0,,1.0,2.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_267_25_2,20.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_267_25_7,,,2.0,2.0,1.0,2.0,2.0,8.0,12.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0
6_Congo_MICS6_267_26_2,,,2.0,2.0,1.0,1.0,2.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_267_27_2,10.0,3.0,2.0,2.0,0.0,1.0,2.0,8.0,4.0,1.0,2.0,2.0,1.0,1.0,,2.0
6_Congo_MICS6_267_29_2,,3.0,2.0,2.0,,1.0,2.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0
6_Congo_MICS6_268_2_2,10.0,,2.0,2.0,1.0,2.0,2.0,8.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0
6_Congo_MICS6_268_2_3,10.0,,2.0,2.0,,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_268_3_2,,3.0,2.0,2.0,3.0,2.0,2.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_268_4_2,,,2.0,2.0,1.0,1.0,2.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,,3.0
6_Congo_MICS6_268_4_3,10.0,,2.0,2.0,0.0,2.0,2.0,3.0,12.0,2.0,2.0,1.0,1.0,3.0,0.0,10.0
6_Congo_MICS6_268_4_4,10.0,,2.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_268_5_2,10.0,,2.0,2.0,1.0,2.0,2.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
6_Congo_MICS6_268_7_2,10.0,3.0,2.0,2.0,1.0,1.0,2.0,8.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
6_Congo_MICS6_268_8_3,20.0,,2.0,2.0,,2.0,2.0,8.0,15.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0
6_Congo_MICS6_268_9_2,,3.0,2.0,2.0,2.0,2.0,2.0,8.0,7.0,2.0,2.0,2.0,3.0,1.0,,2.0
6_Congo_MICS6_268_10_2,10.0,,2.0,2.0,1.0,2.0,2.0,8.0,7.0,2.0,3.0,1.0,1.0,1.0,0.0,10.0
6_Congo_MICS6_268_10_3,,,2.0,2.0,,2.0,2.0,8.0,17.0,2.0,3.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_268_11_2,10.0,3.0,2.0,2.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_268_12_2,,,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0
6_Congo_MICS6_268_13_2,,,2.0,2.0,5.0,1.0,2.0,8.0,20.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0
6_Congo_MICS6_268_14_2,,,2.0,2.0,5.0,2.0,2.0,8.0,4.0,2.0,2.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_268_15_1,10.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0
6_Congo_MICS6_268_15_2,,,2.0,2.0,,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,1.0
6_Congo_MICS6_268_16_2,10.0,,2.0,2.0,0.0,1.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0
6_Congo_MICS6_268_18_1,10.0,,2.0,2.0,1.0,2.0,9.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_268_18_2,,,2.0,2.0,,2.0,2.0,8.0,9.0,2.0,3.0,,,,2.0,2.0
6_Congo_MICS6_268_19_1,10.0,3.0,2.0,2.0,5.0,1.0,,,6.0,2.0,1.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_268_19_2,,,2.0,2.0,,2.0,2.0,8.0,5.0,2.0,3.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_268_20_2,10.0,,2.0,2.0,1.0,2.0,2.0,8.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0
6_Congo_MICS6_268_21_1,,3.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0
6_Congo_MICS6_268_21_2,,3.0,2.0,2.0,,2.0,2.0,8.0,2.0,2.0,3.0,,,,,0.0
6_Congo_MICS6_268_23_2,31.0,,2.0,2.0,0.0,2.0,2.0,1.0,25.0,1.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_268_24_2,10.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,3.0
6_Congo_MICS6_268_25_2,,3.0,2.0,2.0,,2.0,2.0,8.0,6.0,2.0,2.0,,,1.0,1.0,1.0
6_Congo_MICS6_268_26_2,10.0,,2.0,2.0,2.0,2.0,2.0,8.0,14.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
6_Congo_MICS6_268_26_3,10.0,,2.0,2.0,,2.0,2.0,8.0,15.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0
6_Congo_MICS6_268_27_2,,2.0,2.0,2.0,2.0,2.0,2.0,8.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0
6_Congo_MICS6_268_28_2,10.0,,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0
6_Congo_MICS6_268_28_3,10.0,,2.0,2.0,,2.0,2.0,3.0,,1.0,3.0,,,1.0,0.0,8.0
6_Congo_MICS6_268_30_1,10.0,,2.0,2.0,0.0,2.0,2.0,8.0,10.0,2.0,2.0,1.0,1.0,1.0,,10.0
6_Congo_MICS6_268_30_6,31.0,,2.0,2.0,,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_268_30_7,31.0,,2.0,2.0,0.0,2.0,2.0,8.0,15.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0
6_Congo_MICS6_269_1_1,10.0,,2.0,2.0,,1.0,2.0,8.0,7.0,1.0,3.0,1.0,1.0,4.0,,3.0
6_Congo_MICS6_269_5_2,20.0,,2.0,2.0,0.0,2.0,2.0,8.0,3.0,2.0,2.0,2.0,2.0,1.0,,1.0
6_Congo_MICS6_269_6_2,10.0,,2.0,2.0,1.0,2.0,2.0,8.0,2.0,2.0,3.0,3.0,1.0,1.0,,3.0
6_Congo_MICS6_269_7_1,31.0,,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_269_8_2,,,2.0,2.0,3.0,2.0,2.0,8.0,7.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0
6_Congo_MICS6_269_9_1,10.0,,2.0,2.0,,2.0,,,7.0,2.0,3.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_269_10_2,,,2.0,2.0,1.0,1.0,2.0,8.0,4.0,2.0,2.0,2.0,1.0,3.0,,0.0
6_Congo_MICS6_269_11_1,,3.0,2.0,2.0,1.0,2.0,2.0,8.0,5.0,2.0,3.0,1.0,1.0,1.0,,1.0
6_Congo_MICS6_269_13_1,31.0,,2.0,2.0,0.0,2.0,2.0,3.0,17.0,2.0,3.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_269_14_2,,,2.0,2.0,3.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,,3.0
6_Congo_MICS6_269_15_2,10.0,,2.0,2.0,2.0,2.0,2.0,8.0,11.0,2.0,3.0,1.0,2.0,3.0,,3.0
6_Congo_MICS6_269_16_1,31.0,1.0,2.0,2.0,2.0,2.0,2.0,8.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,5.0
6_Congo_MICS6_269_16_2,20.0,,2.0,2.0,,2.0,2.0,8.0,8.0,2.0,3.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_269_16_3,20.0,,2.0,2.0,0.0,2.0,2.0,8.0,15.0,2.0,3.0,1.0,1.0,3.0,0.0,5.0
6_Congo_MICS6_269_16_4,10.0,3.0,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,,,,,3.0
