,WB6A,WB16,MT9,MT11,CM3,CM8,CP2,UN7,UN14N,VT9,MA1,AF10,AF11,SB2U,TA16,LS2
6_Congo_MICS6_3_4_4,31.0,,2.0,1.0,,2.0,2.0,8.0,3.0,2.0,3.0,,,,,10.0
6_Congo_MICS6_3_4_7,40.0,1.0,2.0,1.0,,2.0,1.0,1.0,12.0,2.0,3.0,1.0,1.0,,,5.0
6_Congo_MICS6_3_4_8,31.0,,,1.0,,2.0,1.0,1.0,4.0,2.0,3.0,,,,,10.0
6_Congo_MICS6_3_6_2,31.0,1.0,2.0,1.0,1.0,2.0,1.0,8.0,5.0,2.0,1.0,1.0,1.0,2.0,,8.0
6_Congo_MICS6_3_6_7,31.0,1.0,2.0,1.0,,2.0,1.0,8.0,0.0,2.0,3.0,1.0,1.0,4.0,,5.0
6_Congo_MICS6_3_8_2,40.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_3_8_3,31.0,1.0,2.0,2.0,,2.0,2.0,1.0,6.0,2.0,3.0,,,,,5.0
6_Congo_MICS6_3_10_2,32.0,,1.0,1.0,0.0,2.0,1.0,2.0,18.0,2.0,2.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_3_11_2,40.0,,2.0,1.0,0.0,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_3_12_1,40.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0,2.0,3.0,1.0,1.0,4.0,,1.0
6_Congo_MICS6_3_12_3,33.0,,2.0,2.0,,2.0,2.0,1.0,5.0,2.0,3.0,1.0,1.0,,,5.0
6_Congo_MICS6_3_12_4,40.0,,1.0,1.0,,2.0,2.0,1.0,6.0,2.0,3.0,,,,,3.0
6_Congo_MICS6_3_12_6,31.0,3.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,,3.0
6_Congo_MICS6_3_13_1,40.0,,,1.0,,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_3_15_1,40.0,,2.0,1.0,,2.0,2.0,1.0,13.0,2.0,3.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_3_19_1,31.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,,5.0
6_Congo_MICS6_3_19_3,31.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,3.0,,,,,7.0
6_Congo_MICS6_3_21_1,31.0,1.0,2.0,1.0,2.0,1.0,2.0,8.0,10.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_3_22_1,31.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,93.0,2.0,3.0,2.0,1.0,4.0,,5.0
6_Congo_MICS6_3_22_2,32.0,,2.0,1.0,,2.0,1.0,1.0,13.0,2.0,3.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_3_22_6,31.0,1.0,2.0,2.0,,2.0,2.0,8.0,3.0,2.0,3.0,,,,,4.0
6_Congo_MICS6_3_23_2,31.0,,2.0,2.0,,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,,7.0
6_Congo_MICS6_3_23_3,31.0,,2.0,1.0,0.0,1.0,1.0,8.0,2.0,2.0,3.0,1.0,1.0,4.0,,4.0
6_Congo_MICS6_3_24_1,40.0,,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,,6.0
6_Congo_MICS6_3_25_1,31.0,,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,4.0,,5.0
6_Congo_MICS6_3_26_1,40.0,1.0,2.0,1.0,,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_3_26_2,31.0,1.0,2.0,1.0,,2.0,1.0,8.0,12.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_3_27_1,40.0,1.0,2.0,1.0,,2.0,2.0,1.0,7.0,2.0,3.0,1.0,1.0,3.0,10.0,5.0
6_Congo_MICS6_3_27_2,31.0,1.0,2.0,1.0,,2.0,1.0,1.0,8.0,2.0,3.0,1.0,1.0,4.0,10.0,5.0
6_Congo_MICS6_3_28_2,31.0,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,8.0
6_Congo_MICS6_3_29_1,40.0,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_3_29_2,40.0,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_3_29_3,40.0,1.0,1.0,1.0,,2.0,1.0,8.0,1.0,2.0,3.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_3_29_4,40.0,1.0,2.0,1.0,,2.0,1.0,8.0,1.0,2.0,3.0,1.0,1.0,4.0,,4.0
6_Congo_MICS6_3_29_5,31.0,1.0,1.0,1.0,,2.0,2.0,8.0,3.0,2.0,3.0,1.0,1.0,,,5.0
6_Congo_MICS6_3_29_6,40.0,1.0,2.0,2.0,,2.0,1.0,8.0,1.0,2.0,3.0,1.0,1.0,,,4.0
6_Congo_MICS6_3_30_1,40.0,,,1.0,1.0,2.0,1.0,8.0,9.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_4_1_2,32.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,8.0
